#users MSE R2
random 3.69248291572 -0.779901852889
1 1.3006833713 -0.124116560235
2 1.01480637813 -0.370303418848
3 0.878005568211 -0.464070503453
4 0.847949886105 -0.449259264186
5 0.797813211845 -0.438849664121
6 0.784864591243 -0.480094371932
7 0.764120682442 -0.452876137198
8 0.739108769932 -0.460567309846
9 0.729829297787 -0.503670706045
10 0.716445063135 -0.51219311058
11 0.711854050502 -0.527263734156
12 0.711609578447 -0.516212278588
13 0.69329629846 -0.511369865111
14 0.692505042355 -0.504387971895
15 0.695557459039 -0.520082080278
16 0.6962886426 -0.555729784755
17 0.687780215487 -0.550400424383
18 0.688859857869 -0.58024458578
19 0.686094838334 -0.596709799174
20 0.687877535095 -0.613844802262
21 0.681048367589 -0.598619257889
22 0.675382570958 -0.590942794519
23 0.668391419977 -0.572187196278
24 0.670716810548 -0.586212100144
25 0.673086944691 -0.583372988697
26 0.674682550627 -0.578883692754
27 0.67210651967 -0.578833601806
28 0.671294680268 -0.566840416623
29 0.670974951972 -0.577402546434
30 0.671141396386 -0.565616838878
31 0.672789773185 -0.557794542648
32 0.674449428745 -0.573397229069
33 0.674986119261 -0.58052237423
34 0.674128191215 -0.587629835249
35 0.673887609387 -0.592133908924
36 0.671526905044 -0.592839588789
37 0.671269332783 -0.593156521864
38 0.671375158686 -0.598772795685
39 0.672515063985 -0.613340421815
40 0.672393490576 -0.616717494256
41 0.670605419525 -0.617170431527
42 0.66709770909 -0.615754085661
43 0.668256195311 -0.611849031696
44 0.666946650279 -0.609333884259
45 0.668301863905 -0.600911288842
46 0.670484961609 -0.614171987549
47 0.671064422617 -0.617605096167
48 0.673901896597 -0.638029318018
49 0.673992838935 -0.639055258672
50 0.673732354076 -0.636027307103
51 0.675962792167 -0.652107668942
52 0.676225888332 -0.656070867341
53 0.677510067268 -0.66263439925
54 0.679815654756 -0.673706968915
55 0.680883565507 -0.673401998938
56 0.680803767539 -0.673272408767
57 0.680484190667 -0.674960624158
58 0.681225302865 -0.683301524064
59 0.683999124417 -0.692923907384
60 0.683852736399 -0.694458049046
61 0.68257433325 -0.695473583326
62 0.684323141816 -0.699171717551
63 0.687912868425 -0.706041627269
64 0.687378742474 -0.707236192027
128 0.687114877944 -0.784205237417
256 0.693227623867 -0.85723908269
512 0.704717151869 -0.93381535439
1024 0.710002812248 -0.965988138301
2048 0.714395885942 -0.977834626852
4096 0.7149141051 -0.9786943651
